Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
88,"R. Rawat","Malware Threat Affecting Financial Organization Analysis Using Machine Learning Approach",2022,"International Journal of Information Technology and Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85139553008&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85139553008&origin=inward",1,"2025-06-19 10:15:37","Article","10.4018/IJITWE.304051","1554-1045","https://api.elsevier.com/content/abstract/scopus_id/85139553008",17,1,,,88,29.33,88,1,3,"","",""
49,"R. Rawat","SCNTA: Monitoring of Network Availability and Activity for Identification of Anomalies Using Machine Learning Approaches",2022,"International Journal of Information Technology and Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130321430&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85130321430&origin=inward",2,"2025-06-19 10:15:37","Article","10.4018/IJITWE.297971","1554-1045","https://api.elsevier.com/content/abstract/scopus_id/85130321430",17,1,,,49,16.33,49,1,3,"","",""
43,"A. Patel","SecureOnt: A Security Ontology for Establishing Data Provenance in Semantic Web",2022,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85131042078&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85131042078&origin=inward",3,"2025-06-19 10:15:37","Review","10.13052/jwe1540-9589.21415","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85131042078",21,4,1347,1370,43,14.33,43,1,3,"","",""
39,"K.M. Karthick Raghunath","XGBoost Regression Classifier (XRC) Model for Cyber Attack Detection and Classification Using Inception V4",2022,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85131093147&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85131093147&origin=inward",4,"2025-06-19 10:15:37","Article","10.13052/jwe1540-9589.21413","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85131093147",21,4,1295,1322,39,13.00,39,1,3,"","",""
39,"S. Sekar","Autonomous Transaction Model for E-Commerce Management Using Blockchain Technology",2022,"International Journal of Information Technology and Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85142933220&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85142933220&origin=inward",5,"2025-06-19 10:15:37","Article","10.4018/IJITWE.304047","1554-1045","https://api.elsevier.com/content/abstract/scopus_id/85142933220",17,1,,,39,13.00,39,1,3,"","",""
24,"D.K. Singh Singh","Social Network Analysis for Precise Friend Suggestion for Twitter by Associating Multiple Networks Using ML",2022,"International Journal of Information Technology and Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85140900740&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85140900740&origin=inward",6,"2025-06-19 10:15:37","Article","10.4018/IJITWE.304050","1554-1045","https://api.elsevier.com/content/abstract/scopus_id/85140900740",17,1,,,24,8.00,24,1,3,"","",""
21,"Y. Feng","Integration of Computer Virtual Reality Technology to College Physical Education",2022,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85148432707&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85148432707&origin=inward",7,"2025-06-19 10:15:37","Article","10.13052/jwe1540-9589.2173","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85148432707",21,7,2049,2072,21,7.00,21,1,3,"","",""
17,"E. Elbasani","AMR-CNN: Abstract Meaning Representation with Convolution Neural Network for Toxic Content Detection",2022,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85126470139&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85126470139&origin=inward",8,"2025-06-19 10:15:37","Article","10.13052/jwe1540-9589.2135","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85126470139",21,3,677,692,17,5.67,17,1,3,"","",""
15,"S. Seo","Convolutional Neural Networks Using Log Mel-Spectrogram Separation for Audio Event Classification with Unknown Devices",2022,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124767997&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124767997&origin=inward",9,"2025-06-19 10:15:37","Article","10.13052/jwe1540-9589.21216","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85124767997",21,2,497,521,15,5.00,15,1,3,"","",""
14,"S. Arumugam","Federated Learning-Based Privacy Preservation with Blockchain Assistance in IoT 5G Heterogeneous Networks",2022,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85131047329&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85131047329&origin=inward",10,"2025-06-19 10:15:37","Article","10.13052/jwe1540-9589.21414","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85131047329",21,4,1323,1346,14,4.67,14,1,3,"","",""
